task_id,hostname,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,cpu_model,start_sec,complete_sec,task_type,measured_energy_j,source_dataset,source_workflow,node,runtime_s,peak_mem,energy_j,predicted_energy_j,predicted_runtime_s,predicted_peak_mem
2,-,24999,NFCORE_ATACSEQ:ATACSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,samplesheet_test.csv,NFCORE_ATACSEQ:ATACSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,6442450944,1,1788310661137,1788310661217,1788310663135,1998,0,-,64.1,0.1,8650752,32296960,8650752,32305152,683572,1845,242,17,7131136,12288,49,0,/home/ahmed/atacseq_run/work/35/deda1d1a5fe0f71ed8b88820d2b0d4,-,-,AMD Ryzen 5 7535U with Radeon Graphics,7061.217,7063.135,SAMPLESHEET_CHECK,45.120000000000005,ryzen5_laptop,atacseq,amd_ryzen_5,0,8650752,45.120000000000005,86.99329450000009,967.5,2883768.32
1,-,25054,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:KHMER_UNIQUEKMERS,genome.fa,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:KHMER_UNIQUEKMERS (genome.fa),COMPLETED,0,-,quay.io/biocontainers/khmer:3.0.0a3--py37haa7609a_2,2,14400000,-,6442450944,1,1788310664707,1788310664740,1788310666334,1627,0,-,353.5,0.1,9961472,16584704,9961472,16588800,16907588,3471,2465,23,27557888,16384,56,0,/home/ahmed/atacseq_run/work/fd/8c62bc1690189d78ffe8bbe8325d17,-,-,AMD Ryzen 5 7535U with Radeon Graphics,7064.74,7066.334,KHMER_UNIQUEKMERS,28.87,ryzen5_laptop,atacseq,amd_ryzen_5,0,9961472,28.87,201.61909174999985,1544.455,3694571.5199999996
4,-,25114,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:BWA_INDEX,genome.fa,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:BWA_INDEX (genome.fa),COMPLETED,0,-,quay.io/biocontainers/bwa:0.7.17--hed695b0_7,1,14400000,-,6442450944,1,1788310666343,1788310666435,1788310673486,7143,6000,-,98.9,1.7,132538368,151519232,132538368,151523328,49080152,33436127,1682,73,663552,33476608,823,13,/home/ahmed/atacseq_run/work/7d/0f23e9e7d072cbab8e818d36880534,-,-,AMD Ryzen 5 7535U with Radeon Graphics,7066.435,7073.486,BWA_INDEX,173.43,ryzen5_laptop,atacseq,amd_ryzen_5,6000,132538368,173.43,547.0937992499994,2724.565,14315732.992
5,-,25201,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1788310673492,1788310673587,1788310679091,5599,0,-,75.0,0.0,6422528,12550144,6422528,12554240,12468549,5522,420,20,192512,16384,6,1,/home/ahmed/atacseq_run/work/a2/f7c554dd4153a3dd06dd99a8e85102,-,-,AMD Ryzen 5 7535U with Radeon Graphics,7073.587,7079.091,CUSTOM_GETCHROMSIZES,121.47,ryzen5_laptop,atacseq,amd_ryzen_5,0,6422528,121.47,146.40386975,996.045,3535741.6106666666
3,-,25253,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,2,14400000,-,6442450944,1,1788310679095,1788310679201,1788310681183,2088,0,-,90.3,0.1,7471104,29179904,7471104,29184000,12234328,401936,1646,66,2842624,409600,42,0,/home/ahmed/atacseq_run/work/cc/64dd0f993bc205c9359398580cbd54,-,-,AMD Ryzen 5 7535U with Radeon Graphics,7079.201,7081.183,GTF2BED,38.63,ryzen5_laptop,atacseq,amd_ryzen_5,0,7471104,38.63,160.29460650000001,978.545,1643138825.5573335
10,-,25296,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,OSMOTIC_STRESS_T100_SE_REP1_T1,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T100_SE_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,21600000,-,6442450944,1,1788310681188,1788310681283,1788310686593,5405,4000,-,169.8,3.3,252248064,3552452608,254246912,3557068800,26072738,2078164,17296,6281,51798016,2297856,144,1,/home/ahmed/atacseq_run/work/51/54f7380a1be4eebfc98bd64fe02330,-,-,AMD Ryzen 5 7535U with Radeon Graphics,7081.283,7086.593,FASTQC,122.89,ryzen5_laptop,atacseq,amd_ryzen_5,4000,254246912,122.89,5205.386833749987,28272.5,1137825986.56
7,-,25343,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,OSMOTIC_STRESS_T0_PE_REP1_T1,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T0_PE_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,2,21600000,-,6442450944,1,1788310686600,1788310686694,1788310698732,12132,11000,-,161.0,3.4,266350592,3280560128,266350592,3280637952,259690362,207799422,51935,37323,64675840,24817664,5692,11,/home/ahmed/atacseq_run/work/98/c80ed53b6bb6b28405af5a2329ccad,-,-,AMD Ryzen 5 7535U with Radeon Graphics,7086.694,7098.732,TRIMGALORE,261.86,ryzen5_laptop,atacseq,amd_ryzen_5,11000,266350592,261.86,853.5660547833336,2940.0,7642757.12
6,-,25390,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,OSMOTIC_STRESS_T0_PE_REP1_T1,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T0_PE_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,21600000,-,6442450944,1,1788310698737,1788310698832,1788310703940,5203,3000,-,256.2,5.2,405094400,3620610048,412237824,3683528704,32381252,4200046,30327,12538,53248,4579328,4,0,/home/ahmed/atacseq_run/work/7c/ffd2153251e6bfae423b2149ff07d5,-,-,AMD Ryzen 5 7535U with Radeon Graphics,7098.832,7103.94,FASTQC,113.75,ryzen5_laptop,atacseq,amd_ryzen_5,3000,412237824,113.75,5208.726268249987,28277.5,1137825986.56
11,-,25444,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,OSMOTIC_STRESS_T100_SE_REP1_T1,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T100_SE_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,2,21600000,-,6442450944,1,1788310703945,1788310704040,1788310709122,5177,4000,-,179.2,2.2,170565632,3206012928,171253760,3267121152,101164219,69415703,24588,15256,0,7360512,1261,4,/home/ahmed/atacseq_run/work/9a/6c63e5add8295f292c7153fc170dba,-,-,AMD Ryzen 5 7535U with Radeon Graphics,7104.04,7109.122,TRIMGALORE,123.77,ryzen5_laptop,atacseq,amd_ryzen_5,4000,171253760,123.77,2270.503663000001,10933.9675,8856002.56
13,-,25487,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,OSMOTIC_STRESS_T100_SE_REP2_T1,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T100_SE_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,21600000,-,6442450944,1,1788310709127,1788310709222,1788310713348,4221,3000,-,215.8,3.3,252878848,3552448512,254881792,3556892672,26016246,2074668,17245,6275,0,2314240,4,1,/home/ahmed/atacseq_run/work/6d/561b5c6d019fa941ca71803ff763ab,-,-,AMD Ryzen 5 7535U with Radeon Graphics,7109.222,7113.348,FASTQC,99.33,ryzen5_laptop,atacseq,amd_ryzen_5,3000,254881792,99.33,5205.386833749987,28272.5,1137825986.56
