task_id,hostname,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,cpu_model,start_sec,complete_sec,task_type,measured_energy_j,source_dataset,source_workflow,node,runtime_s,peak_mem,energy_j
1,-,14610,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,samplesheet_test.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,6442450944,1,1788309042582,1788309042663,1788309044689,2107,0,-,71.1,0.1,8388608,32296960,8388608,32305152,677934,1927,241,17,6828032,12288,49,0,/home/ahmed/chipseq_run/work/e9/1897274072e426d6e3ffca38642c72,-,-,AMD Ryzen 5 7535U with Radeon Graphics,5442.663,5444.689,SAMPLESHEET_CHECK,58.43,ryzen5_laptop,chipseq,amd_ryzen_5,0,8388608,58.43
2,-,14657,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,2,14400000,-,6442450944,1,1788309044698,1788309044789,1788309045710,1012,0,-,58.9,0.0,5898240,12410880,5898240,12414976,12468522,5510,420,20,8445952,16384,30,2,/home/ahmed/chipseq_run/work/97/fa7fa82677f592d88e1fa2c70e1059,-,-,AMD Ryzen 5 7535U with Radeon Graphics,5444.789,5445.71,CUSTOM_GETCHROMSIZES,22.09,ryzen5_laptop,chipseq,amd_ryzen_5,0,5898240,22.09
4,-,14721,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX (genome.fa),COMPLETED,0,-,quay.io/biocontainers/bwa:0.7.17--hed695b0_7,2,21600000,-,6442450944,1,1788309045720,1788309045810,1788309053783,8063,6000,-,100.0,1.7,132464640,151519232,132464640,151523328,49080151,33436128,1677,73,663552,33476608,788,12,/home/ahmed/chipseq_run/work/4b/a3d91efa39777ccb81cfd12250484f,-,-,AMD Ryzen 5 7535U with Radeon Graphics,5445.81,5453.783,BWA_INDEX,214.36,ryzen5_laptop,chipseq,amd_ryzen_5,6000,132464640,214.36
3,-,14815,NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS (genome.fa),COMPLETED,0,-,quay.io/biocontainers/khmer:3.0.0a3--py37haa7609a_2,2,14400000,-,6442450944,1,1788309053789,1788309053883,1788309055452,1663,1000,-,372.9,0.1,10092544,16584704,10092544,16588800,16907531,3441,2465,23,27557888,16384,59,0,/home/ahmed/chipseq_run/work/20/838b4077705887028db51f83902775,-,-,AMD Ryzen 5 7535U with Radeon Graphics,5453.883,5455.452,KHMER_UNIQUEKMERS,29.15,ryzen5_laptop,chipseq,amd_ryzen_5,1000,10092544,29.15
5,-,14857,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,2,14400000,-,6442450944,1,1788309055458,1788309055552,1788309057476,2018,1000,-,86.5,0.0,5111808,27811840,5111808,27815936,12234327,401936,1646,66,2842624,409600,18,1,/home/ahmed/chipseq_run/work/93/0ae677c9ce4d40cc1ca4cf2a4504ef,-,-,AMD Ryzen 5 7535U with Radeon Graphics,5455.552,5457.476,GTF2BED,49.01,ryzen5_laptop,chipseq,amd_ryzen_5,1000,5111808,49.01
10,-,14901,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,6442450944,1,1788309057482,1788309057576,1788309059317,1835,1000,-,42.1,0.0,4075520,23150592,4075520,23154688,41460,605,137,33,3801088,12288,3,0,/home/ahmed/chipseq_run/work/01/1a37ef7fb699484f735075ad480212,-,-,AMD Ryzen 5 7535U with Radeon Graphics,5457.576,5459.317,GENOME_BLACKLIST_REGIONS,34.03,ryzen5_laptop,chipseq,amd_ryzen_5,1000,4075520,34.03
6,-,14944,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,SPT5_INPUT_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_INPUT_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,21600000,-,6442450944,1,1788309059323,1788309059417,1788309064707,5384,4000,-,222.4,3.7,286048256,3620610048,286687232,3675803648,30125103,3360348,25568,10677,52056064,3727360,139,0,/home/ahmed/chipseq_run/work/44/ab42418c6232371984448a3124c6a0,-,-,AMD Ryzen 5 7535U with Radeon Graphics,5459.417,5464.707,FASTQC,131.41000000000003,ryzen5_laptop,chipseq,amd_ryzen_5,4000,286687232,131.41000000000003
7,-,14988,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE,SPT5_INPUT_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_INPUT_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,2,21600000,-,6442450944,1,1788309064712,1788309064807,1788309075916,11204,10000,-,160.6,2.9,228139008,3280486400,232488960,3280498688,235292738,186239392,45523,33035,64729088,20393984,5934,5,/home/ahmed/chipseq_run/work/dd/6d8b9cee7a0ebda27bbb141aed6924,-,-,AMD Ryzen 5 7535U with Radeon Graphics,5464.807,5475.916,TRIMGALORE,282.27000000000004,ryzen5_laptop,chipseq,amd_ryzen_5,10000,232488960,282.27000000000004
8,-,15036,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE,SPT5_INPUT_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_INPUT_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,2,21600000,-,6442450944,1,1788309075924,1788309076128,1788309086382,10458,10000,-,164.7,3.2,247373824,3280560128,247373824,3307765760,235138260,186128866,45698,33062,0,20340736,5383,9,/home/ahmed/chipseq_run/work/1d/e652a1c673bb91ca5122d106bf0d47,-,-,AMD Ryzen 5 7535U with Radeon Graphics,5476.128,5486.382,TRIMGALORE,228.72,ryzen5_laptop,chipseq,amd_ryzen_5,10000,247373824,228.72
9,-,15085,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,SPT5_INPUT_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_INPUT_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,21600000,-,6442450944,1,1788309086387,1788309086482,1788309091655,5268,4000,-,209.0,5.5,426762240,3620610048,430178304,3675803648,29882328,3335338,25302,10727,0,3702784,4,2,/home/ahmed/chipseq_run/work/34/c84501deedf1f0e48d1f16b49867cb,-,-,AMD Ryzen 5 7535U with Radeon Graphics,5486.482,5491.655,FASTQC,121.25999999999999,ryzen5_laptop,chipseq,amd_ryzen_5,4000,430178304,121.25999999999999
