task_id,hostname,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,runtime_s,queue,%cpu,%mem,rss,vmem,peak_mem,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,cpu_model,energy_j,task_type,source_dataset,source_workflow,node,cores,ram,predicted_energy_j,predicted_runtime_s,predicted_peak_mem
2,-,7192,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1788523640979,1788523641028,1788523641701,722,0,-,24.3,0.0,3661824,8212480,3661824,8216576,12471944,5520,423,20,8028160,16384,14,0,/home/ahmed/pranay/work/6a/bf9cbae0e68c4eb53ae994226b3112,-,-,12th Gen Intel(R) Core(TM) i5-12400,13.18002,CUSTOM_GETCHROMSIZES,intel_i5,atacseq,intel_i5,6.0,32.0,146.40386974999998,996.045,3535741.6106666666
1,-,6921,NFCORE_ATACSEQ:ATACSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,samplesheet_test.csv,NFCORE_ATACSEQ:ATACSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,6442450944,1,1788523640044,1788523640123,1788523641801,1757,0,-,31.6,0.0,3444736,28082176,3444736,28086272,686968,1840,245,17,6606848,12288,15,0,/home/ahmed/pranay/work/5f/48b8c5d77ca6a8347306b9819cbbb3,-,-,12th Gen Intel(R) Core(TM) i5-12400,13.18002,SAMPLESHEET_CHECK,intel_i5,atacseq,intel_i5,6.0,32.0,125.9632535000001,967.5,2931302.4
5,-,7164,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:KHMER_UNIQUEKMERS,genome.fa,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:KHMER_UNIQUEKMERS (genome.fa),COMPLETED,0,-,quay.io/biocontainers/khmer:3.0.0a3--py37haa7609a_2,2,14400000,-,6442450944,1,1788523640932,1788523641024,1788523642204,1272,1000,-,278.0,0.0,4718592,13357056,4718592,13361152,16910987,3469,2468,23,25870336,16384,16,0,/home/ahmed/pranay/work/58/24025b8d61452279acd2923d91943d,-,-,12th Gen Intel(R) Core(TM) i5-12400,47.510926,KHMER_UNIQUEKMERS,intel_i5,atacseq,intel_i5,6.0,32.0,201.6190917499999,1544.455,3694571.5199999996
4,-,7133,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,2,14400000,-,6442450944,1,1788523640880,1788523640924,1788523642528,1648,0,-,88.1,0.0,6373376,27963392,6373376,27967488,12237728,401934,1649,66,2752512,409600,32,14,/home/ahmed/pranay/work/41/db2e08bc401678563f53df0c3bbb07,-,-,12th Gen Intel(R) Core(TM) i5-12400,47.510926,GTF2BED,intel_i5,atacseq,intel_i5,6.0,32.0,160.29460650000001,978.545,1643138825.5573335
6,-,7917,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,6442450944,1,1788523641809,1788523641901,1788523643218,1409,0,-,0.0,0.0,8974336,55656448,8974336,55660544,47071,805,148,49,3612672,12288,26,3,/home/ahmed/pranay/work/55/09493dfd9999f5a128c3499b23c9b1,-,-,12th Gen Intel(R) Core(TM) i5-12400,55.972391,GENOME_BLACKLIST_REGIONS,intel_i5,atacseq,intel_i5,6.0,32.0,130.0276840000003,835.0,3028424.508952381
7,-,7909,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GET_AUTOSOMES,genome.fa.fai,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GET_AUTOSOMES (genome.fa.fai),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,6442450944,1,1788523641792,1788523641835,1788523643228,1436,0,-,77.4,0.0,10387456,33525760,10387456,33533952,667412,399,241,17,0,12288,1,8,/home/ahmed/pranay/work/66/6d4f51f0d6344f609e98e40d339292,-,-,12th Gen Intel(R) Core(TM) i5-12400,55.972391,GET_AUTOSOMES,intel_i5,atacseq,intel_i5,6.0,32.0,124.28487058333332,957.5,2973880.32
3,-,7181,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:BWA_INDEX,genome.fa,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:BWA_INDEX (genome.fa),COMPLETED,0,-,quay.io/biocontainers/bwa:0.7.17--hed695b0_7,1,14400000,-,6442450944,1,1788523640968,1788523641026,1788523646156,5188,3000,-,96.2,0.4,132857856,151535616,132857856,151539712,49083552,33436125,1680,73,663552,33476608,37,153,/home/ahmed/pranay/work/aa/42744255fe339aca2ecfb6edf75a95,-,-,12th Gen Intel(R) Core(TM) i5-12400,189.178898,BWA_INDEX,intel_i5,atacseq,intel_i5,6.0,32.0,547.0937992499995,2724.565,14315732.992
10,-,8828,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,OSMOTIC_STRESS_T0_PE_REP1_T1,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T0_PE_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,21600000,-,6442450944,1,1788523643739,1788523643829,1788523649984,6245,4000,-,175.3,1.1,374857728,3620630528,374857728,3681452032,32355970,4196260,30328,12536,31059968,4755456,175,1,/home/ahmed/pranay/work/c1/84124a010d99cd9a81fdc6b602c18a,-,-,12th Gen Intel(R) Core(TM) i5-12400,259.045113,FASTQC,intel_i5,atacseq,intel_i5,6.0,32.0,5208.726268249987,28277.5,1137825986.56
13,-,9155,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,OSMOTIC_STRESS_T100_SE_REP1_T1,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T100_SE_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,21600000,-,6442450944,1,1788523644210,1788523644229,1788523650133,5923,3000,-,145.1,0.8,259481600,3552464896,263131136,3557007360,26079708,2081945,17303,6237,18968576,2404352,4,8,/home/ahmed/pranay/work/a0/6b2668f1c79671baef247c67e419f5,-,-,12th Gen Intel(R) Core(TM) i5-12400,263.03430000000003,FASTQC,intel_i5,atacseq,intel_i5,6.0,32.0,5205.386833749988,28272.5,1137825986.56
16,-,10225,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,OSMOTIC_STRESS_T100_SE_REP2_T1,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T100_SE_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,21600000,-,6442450944,1,1788523646158,1788523646256,1788523650139,3981,2000,-,164.0,0.7,237641728,3550367744,238612480,3551776768,26022974,2074668,17251,6275,0,2330624,4,5,/home/ahmed/pranay/work/d1/5960122685129e81d068133714d13e,-,-,12th Gen Intel(R) Core(TM) i5-12400,167.383422,FASTQC,intel_i5,atacseq,intel_i5,6.0,32.0,5205.386833749988,28272.5,1137825986.56
